date,unconditional_average_rain,conditional_average_rain,accumlated_rain,satellite_flag
2025-05-22 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 21:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 23:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-23 00:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 01:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 02:00,0.0000,-999,0.0000,11000000000001100000000000100000
2025-05-23 03:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-23 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-23 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-23 08:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 09:00,0.0000,-999,0.0000,11000000000000010010000000000000
2025-05-23 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-23 13:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-23 14:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 15:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-23 16:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 19:00,0.4653,1.2408,7.4450,11000000000000010000000000000000
2025-05-23 20:00,0.4535,1.4512,7.2560,11000000000000010000000000000000
2025-05-23 21:00,0.0312,0.2499,0.4997,11000000000000010010000000000000
2025-05-23 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 23:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-24 00:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-24 01:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-24 02:00,0.0101,0.0324,0.1621,11000000000001100000000000100000
2025-05-24 03:00,0.0204,0.0653,0.3267,11000000000000100000000000000000
2025-05-24 04:00,0.0041,0.0132,0.0659,11000000000000100000000000000000
2025-05-24 05:00,0.0474,0.0689,0.7577,11000000000000100000000000000000
2025-05-24 06:00,0.0503,0.0732,0.8053,11000000000000010000000000000000
2025-05-24 07:00,0.0415,0.0604,0.6643,11000000000000000000000000000000
2025-05-24 08:00,0.0634,0.1015,1.0146,11000000000000010000000000000000
2025-05-24 09:00,0.0359,0.0574,0.5738,11000000000000000010000000000000
